X	        Y
0.380029806	0.649466192
0.439642325	0.934163701
0.499254844	1.574733096
0.588673621	2.215302491
0.618479881	0.774021352
0.692995529	1.21886121
0.812220566	1.503558719
0.916542474	1.859430605
0.946348733	3.104982206
1.06557377	2.233096085
1.214605067	3.976868327
1.244411326	2.62455516
1.423248882	3.443060498
1.51266766	3.211743772
1.676602086	4.172597865
1.676602086	3.798932384
1.676602086	4.599644128
1.94485842	4.599644128
2.168405365	4.368327402
2.302533532	4.848754448
2.421758569	5.293594306
2.540983607	4.724199288
2.630402385	5.133451957
2.82414307	5.097864769
3.107302534	4.955516014
3.137108793	5.524911032
3.2414307	5.133451957
3.479880775	4.81316726
3.569299553	5.3113879
3.718330849	4.973309609
3.986587183	4.759786477
4.046199702	4.510676157
4.165424739	5.222419929
4.329359165	4.15480427
4.374068554	4.599644128
4.56780924	3.727758007
4.612518629	4.208185053
4.731743666	3.994661922
4.865871833	3.603202847
4.880774963	4.403914591
5.029806259	3.90569395
5.208643815	3.158362989
5.208643815	3.585409253
5.461997019	3.870106762
5.581222057	3.389679715
5.84947839	3.282918149
6.073025335	3.745551601
6.192250373	3.478647687
6.624441133	3.798932384
6.639344262	4.208185053
6.773472429	3.887900356
7.026825633	4.119217082
7.265275708	4.884341637
7.309985097	4.457295374
7.414307004	4.403914591
7.459016393	5.026690391
7.563338301	4.93772242
7.697466468	5.756227758
7.801788376	5.3113879
7.891207154	5.578291815
7.995529061	6.307829181
8.05514158	6.023131673
8.248882265	7.215302491
8.263785395	6.005338078
8.278688525	6.717081851
8.353204173	6.539145907
8.47242921	7.233096085
8.681073025	7.642348754
8.725782414	8.087188612
8.755588674	7.339857651
8.845007452	7.891459075
8.964232489	7.74911032
9.053651267	8.087188612
9.083457526	8.443060498
9.202682563	7.74911032
9.262295082	8.282918149
9.456035768	8.852313167
9.530551416	8.069395018
9.575260805	8.585409253
